19:12:00.713551 config: drop-rate=0.00, max-delay=0s, seed=1574467920713298000
21:04:54.768353 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49837, sz=11 is delayed for 28ms
21:04:54.801145 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49837, sz=11 is delivered
21:05:21.518505 [queue=1] packet #1, 127.0.0.1:54426 -> 127.0.0.1:8080, sz=11 is delayed for 2ms
21:05:21.521214 [queue=0] packet #1, 127.0.0.1:54426 -> 127.0.0.1:8080, sz=11 is delivered
21:05:21.521555 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:54426, sz=11 is delayed for 89ms
21:05:21.613779 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:54426, sz=11 is delivered
18:59:13.632609 [queue=1] packet #1, 127.0.0.1:63927 -> 127.0.0.1:8080, sz=11 is delayed for 51ms
18:59:13.690236 [queue=0] packet #1, 127.0.0.1:63927 -> 127.0.0.1:8080, sz=11 is delivered
18:59:13.695435 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:63927, sz=11 is delayed for 99ms
18:59:13.796456 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:63927, sz=11 is delivered
19:03:48.978930 [queue=1] packet #4294967287, 127.0.0.1:55519 -> 127.0.0.1:8007, sz=0 is delayed for 8ms
19:03:48.987777 [queue=0] packet #4294967287, 127.0.0.1:55519 -> 127.0.0.1:8007, sz=0 is delivered
19:03:49.011872 [queue=1] packet #4294967287, 127.0.0.1:52218 -> 127.0.0.1:55519, sz=0 is delayed for 35ms
19:03:49.050308 [queue=0] packet #4294967287, 127.0.0.1:52218 -> 127.0.0.1:55519, sz=0 is delivered
19:03:49.051200 [queue=1] packet #4294967287, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=0 is delayed for 23ms
19:03:49.052890 [queue=1] packet #4294967288, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is dropped
19:03:49.053048 [queue=2] packet #4294967289, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 86ms
19:03:49.053377 [queue=3] packet #4294967290, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 46ms
19:03:49.053663 [queue=4] packet #4294967291, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 87ms
19:03:49.053783 [queue=5] packet #4294967292, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 82ms
19:03:49.053938 [queue=6] packet #4294967293, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 68ms
19:03:49.054183 [queue=7] packet #4294967294, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 77ms
19:03:49.054267 [queue=8] packet #4294967295, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 32ms
19:03:49.054467 [queue=9] packet #1, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 94ms
19:03:49.054677 [queue=10] packet #2, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delayed for 71ms
19:03:49.076953 [queue=9] packet #4294967287, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=0 is delivered
19:03:49.087397 [queue=8] packet #4294967295, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delivered
19:03:49.088645 [queue=9] packet #4294967295, 127.0.0.1:52218 -> 127.0.0.1:55519, sz=0 is delayed for 27ms
19:03:49.100316 [queue=8] packet #4294967290, 127.0.0.1:55519 -> 127.0.0.1:52218, sz=10 is delivered
